wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /content/autoresearch-irishman/wandb/offline-run-20260715_154115-0sgyo8n1
wandb: View this run in the terminal with `wandb leet`
Device: cuda
Vocab size: 98
Model config: RNNConfig(vocab_size=98, embed_size=256, hidden_size=256, num_layers=3, dropout=0.1, pad_token_id=97)
Num params: 1,605,730
Epoch budget: 30 epochs (no time limit)

step 00054 | epoch 1/30 | loss: 1.676210 | dt: 68ms | tok/sec: 959,829 | elapsed: 3s    
step 00055 | epoch 1/30 | loss: 1.658017 | dt: 69ms | tok/sec: 943,893 | elapsed: 3s    
step 00056 | epoch 1/30 | loss: 1.668158 | dt: 69ms | tok/sec: 953,477 | elapsed: 3s    
step 00057 | epoch 1/30 | loss: 1.663169 | dt: 70ms | tok/sec: 939,069 | elapsed: 3s    
step 00058 | epoch 1/30 | loss: 1.630347 | dt: 74ms | tok/sec: 884,750 | elapsed: 3s    
step 00059 | epoch 1/30 | loss: 1.611720 | dt: 79ms | tok/sec: 827,943 | elapsed: 3s    
step 00060 | epoch 1/30 | loss: 1.617513 | dt: 78ms | tok/sec: 844,455 | elapsed: 4s    
step 00061 | epoch 1/30 | loss: 1.609547 | dt: 72ms | tok/sec: 911,193 | elapsed: 4s    
step 00062 | epoch 1/30 | loss: 1.631763 | dt: 74ms | tok/sec: 890,621 | elapsed: 4s    
step 00063 | epoch 1/30 | loss: 1.618561 | dt: 76ms | tok/sec: 866,160 | elapsed: 4s    
step 00064 | epoch 1/30 | loss: 1.630709 | dt: 74ms | tok/sec: 884,045 | elapsed: 4s    
step 00065 | epoch 1/30 | loss: 1.614552 | dt: 77ms | tok/sec: 854,804 | elapsed: 4s    
step 00066 | epoch 1/30 | loss: 1.618583 | dt: 74ms | tok/sec: 886,071 | elapsed: 4s    
step 00067 | epoch 1/30 | loss: 1.615281 | dt: 73ms | tok/sec: 893,290 | elapsed: 4s    
step 00068 | epoch 1/30 | loss: 1.620336 | dt: 75ms | tok/sec: 876,599 | elapsed: 4s    
step 00069 | epoch 1/30 | loss: 1.590452 | dt: 76ms | tok/sec: 864,045 | elapsed: 4s    
step 00070 | epoch 1/30 | loss: 1.574914 | dt: 74ms | tok/sec: 890,356 | elapsed: 4s    
step 00071 | epoch 1/30 | loss: 1.560027 | dt: 75ms | tok/sec: 877,352 | elapsed: 4s    
step 00072 | epoch 1/30 | loss: 1.579693 | dt: 74ms | tok/sec: 890,021 | elapsed: 4s    
step 00073 | epoch 1/30 | loss: 1.605007 | dt: 78ms | tok/sec: 842,393 | elapsed: 4s    
step 00074 | epoch 1/30 | loss: 1.589136 | dt: 78ms | tok/sec: 836,390 | elapsed: 5s    
step 00075 | epoch 1/30 | loss: 1.573417 | dt: 73ms | tok/sec: 896,033 | elapsed: 5s    
step 00076 | epoch 1/30 | loss: 1.562313 | dt: 73ms | tok/sec: 892,373 | elapsed: 5s    
step 00077 | epoch 1/30 | loss: 1.571419 | dt: 73ms | tok/sec: 895,960 | elapsed: 5s    
step 00078 | epoch 1/30 | loss: 1.553090 | dt: 75ms | tok/sec: 876,585 | elapsed: 5s    
step 00079 | epoch 1/30 | loss: 1.551797 | dt: 109ms | tok/sec: 602,649 | elapsed: 5s    
step 00080 | epoch 1/30 | loss: 1.574600 | dt: 76ms | tok/sec: 857,198 | elapsed: 5s    
step 00081 | epoch 1/30 | loss: 1.582516 | dt: 73ms | tok/sec: 893,539 | elapsed: 5s    
step 00082 | epoch 1/30 | loss: 1.557567 | dt: 75ms | tok/sec: 879,209 | elapsed: 5s    
step 00083 | epoch 1/30 | loss: 1.530670 | dt: 74ms | tok/sec: 888,913 | elapsed: 5s    
step 00084 | epoch 1/30 | loss: 1.569954 | dt: 72ms | tok/sec: 906,804 | elapsed: 5s    
step 00085 | epoch 1/30 | loss: 1.544134 | dt: 74ms | tok/sec: 891,543 | elapsed: 5s    
step 00086 | epoch 1/30 | loss: 1.566696 | dt: 74ms | tok/sec: 890,036 | elapsed: 5s    
step 00087 | epoch 1/30 | loss: 1.536583 | dt: 71ms | tok/sec: 919,603 | elapsed: 6s    
step 00088 | epoch 1/30 | loss: 1.505194 | dt: 74ms | tok/sec: 884,625 | elapsed: 6s    
step 00089 | epoch 1/30 | loss: 1.549492 | dt: 76ms | tok/sec: 867,358 | elapsed: 6s    
step 00090 | epoch 1/30 | loss: 1.534377 | dt: 75ms | tok/sec: 876,915 | elapsed: 6s    
step 00091 | epoch 1/30 | loss: 1.530222 | dt: 73ms | tok/sec: 895,840 | elapsed: 6s    
step 00092 | epoch 1/30 | loss: 1.526598 | dt: 74ms | tok/sec: 887,616 | elapsed: 6s    
step 00093 | epoch 1/30 | loss: 1.516055 | dt: 75ms | tok/sec: 871,471 | elapsed: 6s    
step 00094 | epoch 1/30 | loss: 1.523440 | dt: 76ms | tok/sec: 861,078 | elapsed: 6s    
step 00095 | epoch 1/30 | loss: 1.495778 | dt: 74ms | tok/sec: 882,846 | elapsed: 6s    
step 00096 | epoch 1/30 | loss: 1.533339 | dt: 73ms | tok/sec: 892,652 | elapsed: 6s    
step 00097 | epoch 1/30 | loss: 1.521347 | dt: 72ms | tok/sec: 906,667 | elapsed: 6s    
step 00098 | epoch 1/30 | loss: 1.501731 | dt: 75ms | tok/sec: 873,546 | elapsed: 6s    
step 00099 | epoch 1/30 | loss: 1.522386 | dt: 73ms | tok/sec: 896,892 | elapsed: 6s    
step 00100 | epoch 1/30 | loss: 1.515856 | dt: 72ms | tok/sec: 904,114 | elapsed: 7s    
step 00101 | epoch 1/30 | loss: 1.508738 | dt: 73ms | tok/sec: 895,887 | elapsed: 7s    
step 00102 | epoch 1/30 | loss: 1.531378 | dt: 75ms | tok/sec: 872,827 | elapsed: 7s    
step 00103 | epoch 1/30 | loss: 1.532439 | dt: 74ms | tok/sec: 889,483 | elapsed: 7s    
step 00104 | epoch 1/30 | loss: 1.532821 | dt: 80ms | tok/sec: 814,626 | elapsed: 7s    
step 00105 | epoch 1/30 | loss: 1.496712 | dt: 79ms | tok/sec: 825,853 | elapsed: 7s    
step 00106 | epoch 1/30 | loss: 1.508739 | dt: 121ms | tok/sec: 543,515 | elapsed: 7s    
step 00107 | epoch 1/30 | loss: 1.524043 | dt: 76ms | tok/sec: 864,194 | elapsed: 7s    
step 00108 | epoch 1/30 | loss: 1.513258 | dt: 79ms | tok/sec: 833,385 | elapsed: 7s    
step 00109 | epoch 1/30 | loss: 1.549125 | dt: 72ms | tok/sec: 908,200 | elapsed: 7s    
step 00110 | epoch 1/30 | loss: 1.476506 | dt: 74ms | tok/sec: 884,363 | elapsed: 7s    
step 00111 | epoch 1/30 | loss: 1.470228 | dt: 74ms | tok/sec: 881,815 | elapsed: 7s    
