wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /content/autoresearch-irishman/wandb/offline-run-20260715_165959-t3q6wir6
wandb: View this run in the terminal with `wandb leet`
Device: cuda
Vocab size: 98
Model config: RNNConfig(vocab_size=98, embed_size=256, hidden_size=256, num_layers=3, dropout=0.1, pad_token_id=97)
Num params: 1,605,730
Epoch budget: 50 epochs (no time limit)

step 00054 | epoch 1/50 | loss: 1.676210 | dt: 68ms | tok/sec: 964,142 | elapsed: 3s    
step 00055 | epoch 1/50 | loss: 1.658017 | dt: 70ms | tok/sec: 931,252 | elapsed: 3s    
step 00056 | epoch 1/50 | loss: 1.668158 | dt: 68ms | tok/sec: 960,507 | elapsed: 3s    
step 00057 | epoch 1/50 | loss: 1.663169 | dt: 68ms | tok/sec: 957,392 | elapsed: 3s    
step 00058 | epoch 1/50 | loss: 1.630347 | dt: 67ms | tok/sec: 982,759 | elapsed: 3s    
step 00059 | epoch 1/50 | loss: 1.611720 | dt: 67ms | tok/sec: 975,335 | elapsed: 4s    
step 00060 | epoch 1/50 | loss: 1.617513 | dt: 66ms | tok/sec: 987,600 | elapsed: 4s    
step 00061 | epoch 1/50 | loss: 1.609547 | dt: 68ms | tok/sec: 969,221 | elapsed: 4s    
step 00062 | epoch 1/50 | loss: 1.631763 | dt: 68ms | tok/sec: 960,262 | elapsed: 4s    
step 00063 | epoch 1/50 | loss: 1.618561 | dt: 67ms | tok/sec: 973,518 | elapsed: 4s    
step 00064 | epoch 1/50 | loss: 1.630709 | dt: 68ms | tok/sec: 970,473 | elapsed: 4s    
step 00065 | epoch 1/50 | loss: 1.614552 | dt: 67ms | tok/sec: 976,402 | elapsed: 4s    
step 00066 | epoch 1/50 | loss: 1.618583 | dt: 67ms | tok/sec: 977,058 | elapsed: 4s    
step 00067 | epoch 1/50 | loss: 1.615281 | dt: 71ms | tok/sec: 928,437 | elapsed: 4s    
step 00068 | epoch 1/50 | loss: 1.620336 | dt: 66ms | tok/sec: 992,908 | elapsed: 4s    
step 00069 | epoch 1/50 | loss: 1.590452 | dt: 68ms | tok/sec: 965,222 | elapsed: 4s    
step 00070 | epoch 1/50 | loss: 1.574914 | dt: 66ms | tok/sec: 987,004 | elapsed: 4s    
step 00071 | epoch 1/50 | loss: 1.560027 | dt: 67ms | tok/sec: 979,921 | elapsed: 4s    
